start,end,duration_min,state,top_variables,severity
2018-03-13 23:15:00,2018-03-14 00:35:00,85,2,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp",1.8793450332303376
2018-03-14 00:55:00,2018-03-14 01:00:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.687182747267423
2018-03-14 02:15:00,2018-03-14 02:20:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.8193456428678285
2018-03-14 05:30:00,2018-03-14 06:20:00,55,2,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_Gas_Outlet_Temp",2.234329914156892
2018-03-17 07:20:00,2018-03-17 07:35:00,20,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_cone_draft",1.6852501442603902
2018-03-19 05:00:00,2018-03-19 05:05:00,10,2,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",2.3279524198000527
2018-03-19 05:20:00,2018-03-19 13:50:00,515,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.754327494065067
2018-03-19 14:30:00,2018-03-19 14:40:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Gas_Temp",1.9492860697350862
2018-03-20 00:20:00,2018-03-20 00:25:00,10,4,"Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft,Cyclone_Inlet_Draft",1.4929478717938176
2018-03-20 19:45:00,2018-03-20 20:30:00,50,3,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",2.8927263644218955
2018-04-04 07:05:00,2018-04-04 07:10:00,10,4,"Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Inlet_Draft",1.3382171499404858
2018-04-04 13:30:00,2018-04-04 13:35:00,10,3,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp",1.8098829452898884
2018-04-06 03:25:00,2018-04-06 03:40:00,20,3,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft",2.0476296152226436
2018-04-08 06:10:00,2018-04-08 06:15:00,10,0,"Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft",1.7800152997200893
2018-04-08 23:30:00,2018-04-08 23:35:00,10,0,"Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Draft",1.8097627585580651
2018-04-10 20:15:00,2018-04-10 20:20:00,10,3,"Cyclone_Inlet_Draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",2.8712557400657093
2018-04-13 03:35:00,2018-04-13 04:50:00,80,2,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.921374544158808
2018-04-13 05:10:00,2018-04-13 05:15:00,10,2,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",2.0057725889554305
2018-04-16 04:00:00,2018-04-16 04:05:00,10,0,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_cone_draft",3.015592797654875
2018-04-16 14:25:00,2018-04-16 14:30:00,10,0,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_cone_draft",3.420745883481972
2018-04-17 03:05:00,2018-04-17 03:40:00,40,0,"Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft,Cyclone_cone_draft",2.4333346046027136
2018-04-17 21:00:00,2018-04-17 21:35:00,40,2,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Draft",1.7246413733687567
2018-04-20 22:55:00,2018-04-20 23:05:00,15,2,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp",1.8100718195650332
2018-04-21 07:50:00,2018-04-21 08:05:00,20,2,"Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp",2.316211094729676
2018-04-21 15:25:00,2018-04-21 15:50:00,30,2,"Cyclone_Material_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp",1.8262401646188653
2018-04-21 22:00:00,2018-04-21 22:05:00,10,2,"Cyclone_Outlet_Gas_draft,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.8950994791691187
2018-04-21 22:35:00,2018-04-21 22:40:00,10,2,"Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft",1.88480920175167
2018-04-21 23:55:00,2018-04-22 00:00:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.8844014939083946
2018-04-22 06:35:00,2018-04-22 06:40:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Gas_Outlet_Temp",1.7672822855921904
2018-04-22 07:50:00,2018-04-22 07:55:00,10,2,"Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",1.852418128343276
2018-04-22 08:20:00,2018-04-22 08:25:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft",2.206072353559365
2018-04-22 22:40:00,2018-04-22 22:45:00,10,2,"Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft",1.5997746953780974
2018-04-23 11:00:00,2018-04-23 11:10:00,15,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft",1.798842335172014
2018-04-23 11:25:00,2018-04-23 11:30:00,10,2,"Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft",1.8474069742103636
2018-04-23 22:15:00,2018-04-23 22:20:00,10,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Material_Temp",1.9255583045323756
2018-04-23 22:40:00,2018-04-23 22:45:00,10,2,"Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft",1.9338844364256351
2018-04-23 23:05:00,2018-04-23 23:10:00,10,2,"Cyclone_Outlet_Gas_draft,Cyclone_Gas_Outlet_Temp,Cyclone_cone_draft",1.7272606736012854
2018-04-24 00:35:00,2018-04-24 01:15:00,45,2,"Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Inlet_Gas_Temp",1.8746137566350856
